 !  #   ele     A    N    Z       atom mass    error         nucl.bind.E.  error       B/A
    1,    n,    1,   1,   0,     1.008664916, 0.000000000,      0.000000, 0.000000,    0.000000
    2,    H,    1,   0,   1,     1.007825032, 0.000000000,      0.000000, 0.000000,    0.000000
    3,    H,    2,   1,   1,     2.014101778, 0.000000000,     -2.224565, 0.000000,   -1.112283
    4,    H,    3,   2,   1,     3.016049281, 0.000000000,     -8.481795, 0.000000,   -2.827265
    5,   He,    3,   1,   2,     3.016029322, 0.000000000,     -7.717993, 0.000000,   -2.572664
    6,    H,    4,   3,   1,     4.026431867, 0.000107354,     -6.881796, 0.100000,   -1.720449
    7,   He,    4,   2,   2,     4.002603254, 0.000000000,    -28.295614, 0.000000,   -7.073903
    8,   Li,    4,   1,   3,     4.027185561, 0.000227733,     -4.614883, 0.212132,   -1.153721
    9,    H,    5,   4,   1,     5.035311492, 0.000096020,     -6.681796, 0.089442,   -1.336359
   10,   He,    5,   3,   2,     5.012057224, 0.000021470,    -27.560615, 0.019999,   -5.512123
   11,   Li,    5,   2,   3,     5.012537800, 0.000053677,    -26.330504, 0.050000,   -5.266101
   12,    H,    6,   5,   1,     6.044955437, 0.000272816,     -5.769836, 0.254126,   -0.961639
   13,   He,    6,   4,   2,     6.018885889, 0.000000057,    -29.271072, 0.000053,   -4.878512
   14,   Li,    6,   3,   3,     6.015122887, 0.000000002,    -31.993828, 0.000001,   -5.332305
   15,   Be,    6,   2,   4,     6.019726409, 0.000005848,    -26.923144, 0.005447,   -4.487191
   16,   He,    7,   5,   2,     7.027990652, 0.000008115,    -28.861357, 0.007559,   -4.123051
   17,   Li,    7,   4,   3,     7.016003434, 0.000000004,    -39.244922, 0.000004,   -5.606417
   18,   Be,    7,   3,   4,     7.016928714, 0.000000076,    -37.600499, 0.000071,   -5.371500
   19,    B,    7,   2,   5,     7.029712000, 0.000027000,    -24.910330, 0.025150,   -3.558619
   20,   He,    8,   6,   2,     8.033934388, 0.000000095,    -31.396120, 0.000088,   -3.924515
   21,   Li,    8,   5,   3,     8.022486244, 0.000000050,    -41.277541, 0.000047,   -5.159693
   22,   Be,    8,   4,   4,     8.005305102, 0.000000037,    -56.499143, 0.000034,   -7.062393
   23,    B,    8,   3,   5,     8.024607315, 0.000001073,    -37.736633, 0.000999,   -4.717079
   24,    C,    8,   2,   6,     8.037643039, 0.000019584,    -24.811230, 0.018242,   -3.101404
   25,   He,    9,   7,   2,     9.043946414, 0.000050259,    -30.141295, 0.046816,   -3.349033
   26,   Li,    9,   6,   3,     9.026790191, 0.000000200,    -45.339758, 0.000186,   -5.037751
   27,   Be,    9,   5,   4,     9.012183062, 0.000000082,    -58.163682, 0.000076,   -6.462631
   28,    B,    9,   4,   5,     9.013329645, 0.000000969,    -56.313034, 0.000903,   -6.257004
   29,    C,    9,   3,   6,     9.031037202, 0.000002293,    -39.035846, 0.002136,   -4.337316
